Date,Day,Country,Type,Counts
1/5/2015,289,Guinea,Cases,2776.0
1/4/2015,288,Guinea,Cases,2775.0
1/3/2015,287,Guinea,Cases,2769.0
1/2/2015,286,Guinea,Cases,
12/31/2014,284,Guinea,Cases,2730.0
12/28/2014,281,Guinea,Cases,2706.0
12/27/2014,280,Guinea,Cases,2695.0
12/24/2014,277,Guinea,Cases,2630.0
12/21/2014,273,Guinea,Cases,2597.0
12/20/2014,272,Guinea,Cases,2571.0
12/18/2014,271,Guinea,Cases,
12/14/2014,267,Guinea,Cases,2416.0
12/9/2014,262,Guinea,Cases,
12/7/2014,260,Guinea,Cases,2292.0
12/3/2014,256,Guinea,Cases,
11/30/2014,253,Guinea,Cases,2164.0
11/28/2014,251,Guinea,Cases,
11/23/2014,246,Guinea,Cases,2134.0
11/22/2014,245,Guinea,Cases,
11/18/2014,241,Guinea,Cases,2047.0
11/16/2014,239,Guinea,Cases,1971.0
11/15/2014,238,Guinea,Cases,
11/11/2014,234,Guinea,Cases,1919.0
11/10/2014,233,Guinea,Cases,
11/9/2014,232,Guinea,Cases,1878.0
11/8/2014,231,Guinea,Cases,
11/4/2014,227,Guinea,Cases,
11/3/2014,226,Guinea,Cases,1760.0
11/2/2014,225,Guinea,Cases,1731.0
10/31/2014,222,Guinea,Cases,
10/29/2014,220,Guinea,Cases,1667.0
10/27/2014,218,Guinea,Cases,1906.0
10/25/2014,216,Guinea,Cases,
10/22/2014,214,Guinea,Cases,
10/21/2014,213,Guinea,Cases,1553.0
10/19/2014,211,Guinea,Cases,1540.0
10/18/2014,210,Guinea,Cases,
10/14/2014,206,Guinea,Cases,1519.0
10/13/2014,205,Guinea,Cases,
10/12/2014,204,Guinea,Cases,1472.0
10/11/2014,203,Guinea,Cases,
10/8/2014,200,Guinea,Cases,
10/7/2014,199,Guinea,Cases,1350.0
10/5/2014,197,Guinea,Cases,1298.0
10/4/2014,196,Guinea,Cases,
10/1/2014,193,Guinea,Cases,1199.0
9/28/2014,190,Guinea,Cases,1157.0
9/23/2014,185,Guinea,Cases,1074.0
9/21/2014,183,Guinea,Cases,1022.0
9/20/2014,182,Guinea,Cases,
9/19/2014,181,Guinea,Cases,1008.0
9/17/2014,179,Guinea,Cases,
9/14/2014,176,Guinea,Cases,942.0
9/13/2014,175,Guinea,Cases,936.0
9/10/2014,172,Guinea,Cases,899.0
9/9/2014,171,Guinea,Cases,
9/7/2014,169,Guinea,Cases,861.0
9/5/2014,167,Guinea,Cases,812.0
8/31/2014,162,Guinea,Cases,771.0
8/26/2014,157,Guinea,Cases,648.0
8/20/2014,151,Guinea,Cases,607.0
8/18/2014,149,Guinea,Cases,579.0
8/16/2014,147,Guinea,Cases,543.0
8/13/2014,144,Guinea,Cases,519.0
8/11/2014,142,Guinea,Cases,510.0
8/9/2014,140,Guinea,Cases,506.0
8/6/2014,137,Guinea,Cases,495.0
8/4/2014,135,Guinea,Cases,495.0
8/1/2014,132,Guinea,Cases,485.0
7/30/2014,129,Guinea,Cases,472.0
7/27/2014,126,Guinea,Cases,460.0
7/23/2014,123,Guinea,Cases,427.0
7/20/2014,120,Guinea,Cases,415.0
7/17/2014,117,Guinea,Cases,410.0
7/14/2014,114,Guinea,Cases,411.0
7/12/2014,112,Guinea,Cases,406.0
7/8/2014,108,Guinea,Cases,409.0
7/6/2014,106,Guinea,Cases,408.0
7/2/2014,102,Guinea,Cases,412.0
6/30/2014,100,Guinea,Cases,413.0
6/22/2014,92,Guinea,Cases,
6/20/2014,90,Guinea,Cases,390.0
6/19/2014,89,Guinea,Cases,
6/18/2014,88,Guinea,Cases,390.0
6/17/2014,87,Guinea,Cases,
6/16/2014,86,Guinea,Cases,398.0
6/10/2014,80,Guinea,Cases,351.0
6/5/2014,75,Guinea,Cases,
6/3/2014,73,Guinea,Cases,344.0
6/1/2014,71,Guinea,Cases,328.0
5/28/2014,67,Guinea,Cases,291.0
5/27/2014,66,Guinea,Cases,281.0
5/23/2014,62,Guinea,Cases,258.0
5/12/2014,51,Guinea,Cases,248.0
5/10/2014,49,Guinea,Cases,233.0
5/7/2014,46,Guinea,Cases,236.0
5/5/2014,44,Guinea,Cases,235.0
5/3/2014,42,Guinea,Cases,231.0
5/1/2014,40,Guinea,Cases,226.0
4/26/2014,35,Guinea,Cases,224.0
4/24/2014,33,Guinea,Cases,
4/23/2014,32,Guinea,Cases,218.0
4/22/2014,31,Guinea,Cases,
4/21/2014,30,Guinea,Cases,
4/20/2014,29,Guinea,Cases,208.0
4/17/2014,26,Guinea,Cases,203.0
4/16/2014,25,Guinea,Cases,197.0
